external_id,created_at,account_age_months,monthly_revenue,remaining_arr,logins_30d,logins_prev_30d,login_frequency_change,features_used,previous_features_used,feature_usage_change,support_tickets,negative_support,support_ticket_growth,emails_opened,emails_clicked,email_engagement,last_login_days,payment_failures,days_until_renewal,number_of_users,user_activity_variance,historical_discount,churned,upgraded,responded,high_ltv,support_30d,upgrade_arpu,expected_contribution,avoided_support_cost,incremental_margin,true_p0_churn,true_p0_upsell,true_p0_response,true_p0_high_ltv,true_p0_support
C-10307,2025-07-09,34.0,49.0,588.0,16.0,22.0,-0.2727,5.0,2.0,1.5,2.0,0.0,0.2024,0.0,0.0,0.0,23.0,0.0,79.0,8.0,0.3149,0.0,0,0,0,0,0,120.0,222.03,90.0,8.0,0.3134,0.4908,0.2573,0.095,0.4601
C-10308,2024-09-09,20.0,49.0,588.0,1.0,2.0,-0.5,1.0,2.0,-0.5,0.0,0.0,-0.0863,6.0,3.0,0.45,9.0,0.0,51.0,24.0,0.6274,0.0,0,0,0,0,0,120.0,248.54,40.0,8.0,0.2315,0.4711,0.485,0.0983,0.2351
C-10309,2024-01-07,8.0,799.0,9588.0,13.0,10.0,0.3,12.0,10.0,0.2,0.0,0.0,-1.2519,5.0,5.0,0.5,11.0,0.0,85.0,10.0,0.3149,0.0,0,1,0,1,0,360.0,4572.23,40.0,80.0,0.133,0.635,0.495,0.9813,0.1584
C-10310,2024-06-16,40.0,49.0,588.0,21.0,27.0,-0.2222,4.0,8.0,-0.5,2.0,1.0,-0.2624,3.0,3.0,0.3,19.0,0.0,127.0,25.0,0.6277,0.0,0,1,0,0,0,120.0,240.49,90.0,8.0,0.2564,0.6322,0.3775,0.0973,0.5671
C-10311,2024-10-20,40.0,799.0,9588.0,12.0,16.0,-0.25,3.0,2.0,0.5,0.0,0.0,0.1175,11.0,9.0,1.0,37.0,1.0,54.0,5.0,0.1952,1.0,1,1,1,1,1,360.0,3564.3,40.0,80.0,0.3241,0.5567,0.6365,0.9256,0.3917
C-10312,2025-04-27,8.0,49.0,588.0,2.0,4.0,-0.5,8.0,10.0,-0.2,1.0,0.0,-0.7935,1.0,0.0,0.05,43.0,0.0,13.0,28.0,0.3436,0.0,1,1,0,0,1,120.0,62.95,65.0,8.0,0.8053,0.5093,0.201,0.0772,0.4725
C-10313,2026-01-22,18.0,399.0,4788.0,0.0,4.0,-1.0,0.0,2.0,-1.0,1.0,0.0,0.5239,0.0,0.0,0.0,17.0,0.0,33.0,9.0,0.3476,1.0,0,0,1,0,0,360.0,997.31,65.0,59.85,0.6213,0.3821,0.3452,0.2411,0.3799
C-10314,2024-06-05,16.0,99.0,1188.0,5.0,8.0,-0.375,5.0,8.0,-0.375,1.0,1.0,0.7081,7.0,6.0,0.65,17.0,0.0,130.0,21.0,0.4991,0.0,0,1,0,0,1,120.0,455.69,65.0,14.85,0.3026,0.4997,0.525,0.1278,0.4403
C-10315,2025-09-28,40.0,249.0,2988.0,28.0,27.0,0.037,3.0,3.0,0.0,1.0,1.0,-0.4229,5.0,2.0,0.35,5.0,0.0,106.0,5.0,0.4737,0.0,0,1,0,0,0,360.0,1470.4,65.0,37.35,0.1053,0.5836,0.4651,0.3844,0.3775
C-10316,2025-10-22,44.0,99.0,1188.0,3.0,5.0,-0.4,0.0,1.0,-1.0,2.0,1.0,0.5807,9.0,9.0,0.9,24.0,0.0,176.0,38.0,0.5444,1.0,0,1,1,0,1,120.0,492.66,90.0,14.85,0.246,0.6675,0.6593,0.1338,0.6502
C-10317,2025-12-15,44.0,149.0,1788.0,23.0,25.0,-0.08,9.0,9.0,0.0,1.0,0.0,-0.0878,0.0,0.0,0.0,10.0,0.0,161.0,15.0,0.4534,1.0,0,1,1,0,0,120.0,851.62,65.0,22.35,0.134,0.6863,0.3775,0.2051,0.2405
C-10318,2025-12-19,56.0,149.0,1788.0,19.0,19.0,0.0,5.0,10.0,-0.5,2.0,2.0,0.9177,5.0,4.0,0.45,36.0,1.0,33.0,24.0,0.5323,0.0,0,1,0,0,1,120.0,558.89,90.0,22.35,0.4317,0.6951,0.3543,0.1452,0.7738
C-10319,2024-02-25,46.0,249.0,2988.0,21.0,25.0,-0.16,0.0,2.0,-1.0,3.0,0.0,1.6273,1.0,0.0,0.05,24.0,0.0,133.0,19.0,0.2204,0.0,0,1,0,0,0,360.0,1253.26,115.0,37.35,0.2374,0.6391,0.2689,0.3141,0.6271
C-10320,2024-07-11,20.0,149.0,1788.0,27.0,23.0,0.1739,5.0,2.0,1.5,1.0,0.0,-0.8749,0.0,0.0,0.0,9.0,2.0,20.0,24.0,0.4778,0.0,0,0,0,0,0,120.0,551.63,65.0,22.35,0.4391,0.5251,0.3143,0.1439,0.2729
C-10321,2026-04-09,8.0,249.0,2988.0,18.0,9.0,1.0,9.0,7.0,0.2857,2.0,2.0,0.6156,5.0,3.0,0.4,41.0,0.0,21.0,18.0,0.7216,1.0,0,1,0,0,1,360.0,504.24,90.0,37.35,0.6932,0.5679,0.3823,0.1357,0.7649
C-10322,2025-07-11,37.0,399.0,4788.0,20.0,23.0,-0.1304,0.0,1.0,-1.0,1.0,1.0,1.044,8.0,6.0,0.7,36.0,0.0,143.0,3.0,0.064,0.0,0,1,1,1,1,360.0,1805.79,65.0,59.85,0.3143,0.4683,0.4502,0.5021,0.6411
C-10323,2024-07-21,55.0,149.0,1788.0,8.0,5.0,0.6,8.0,9.0,-0.1111,0.0,0.0,-0.7765,1.0,1.0,0.1,13.0,0.0,75.0,33.0,0.4978,0.0,1,0,1,0,0,120.0,878.95,40.0,22.35,0.1062,0.8141,0.3318,0.2115,0.1962
C-10324,2026-05-28,58.0,149.0,1788.0,7.0,8.0,-0.125,13.0,11.0,0.1818,2.0,1.0,-0.4601,10.0,9.0,0.95,5.0,0.0,179.0,26.0,0.5354,0.0,0,1,1,1,0,120.0,922.91,90.0,22.35,0.0615,0.8519,0.6942,0.2222,0.3543
C-10325,2024-10-20,15.0,49.0,588.0,8.0,6.0,0.3333,10.0,9.0,0.1111,3.0,0.0,-0.4691,6.0,3.0,0.45,11.0,1.0,5.0,10.0,0.6922,1.0,0,1,1,0,0,120.0,232.23,115.0,8.0,0.2819,0.5148,0.5498,0.0962,0.4085
C-10326,2024-09-11,15.0,149.0,1788.0,13.0,4.0,2.25,3.0,3.0,0.0,2.0,0.0,-0.1062,5.0,5.0,0.5,16.0,0.0,92.0,4.0,0.5452,0.0,0,0,1,0,1,120.0,838.43,90.0,22.35,0.1474,0.3512,0.47,0.202,0.4329
C-10327,2026-01-11,4.0,49.0,588.0,6.0,3.0,1.0,5.0,3.0,0.6667,0.0,0.0,-0.2851,11.0,9.0,1.0,18.0,0.0,58.0,35.0,0.4201,1.0,0,0,1,0,0,120.0,283.12,40.0,8.0,0.1246,0.5665,0.7191,0.1028,0.2479
C-10328,2026-04-27,10.0,99.0,1188.0,0.0,6.0,-1.0,6.0,8.0,-0.25,0.0,0.0,-0.1586,3.0,1.0,0.2,37.0,0.0,177.0,13.0,0.486,1.0,1,0,0,1,0,120.0,136.13,40.0,14.85,0.7917,0.3715,0.3274,0.0849,0.3566
C-10329,2024-12-24,34.0,799.0,9588.0,7.0,4.0,0.75,1.0,1.0,0.0,0.0,0.0,0.6704,2.0,2.0,0.2,43.0,2.0,122.0,36.0,0.253,1.0,0,0,0,0,1,360.0,2186.33,40.0,80.0,0.5854,0.6786,0.3015,0.6346,0.4601
C-10330,2025-07-23,33.0,49.0,588.0,18.0,11.0,0.6364,5.0,6.0,-0.1667,1.0,1.0,-1.5,9.0,9.0,0.9,33.0,0.0,140.0,30.0,0.3224,0.0,0,1,0,0,1,120.0,252.49,65.0,8.0,0.2193,0.6571,0.5449,0.0988,0.5597
C-10331,2025-07-21,23.0,149.0,1788.0,1.0,2.0,-0.5,4.0,5.0,-0.2,1.0,1.0,-0.7791,1.0,0.0,0.05,38.0,0.0,55.0,38.0,0.1329,1.0,1,1,0,0,0,120.0,311.23,65.0,22.35,0.6835,0.5934,0.2729,0.1065,0.6083
C-10332,2024-07-18,19.0,799.0,9588.0,8.0,2.0,3.0,8.0,9.0,-0.1111,0.0,0.0,0.5359,10.0,10.0,1.0,5.0,0.0,161.0,26.0,0.6974,1.0,0,1,1,1,0,360.0,4959.5,40.0,80.0,0.0595,0.7252,0.7685,0.9892,0.1611
C-10333,2025-05-02,50.0,799.0,9588.0,23.0,27.0,-0.1481,3.0,3.0,0.0,1.0,0.0,0.4422,9.0,9.0,0.9,6.0,0.0,152.0,8.0,0.49,1.0,0,1,1,1,1,360.0,4977.69,65.0,80.0,0.0561,0.6575,0.735,0.9894,0.2749
C-10334,2024-02-19,28.0,49.0,588.0,0.0,3.0,-1.0,9.0,9.0,0.0,1.0,0.0,-0.8468,11.0,11.0,1.0,40.0,0.0,142.0,2.0,0.2168,0.0,1,0,1,0,0,120.0,123.62,65.0,8.0,0.6177,0.4579,0.5498,0.0836,0.4378
C-10335,2026-02-02,48.0,49.0,588.0,3.0,2.0,0.5,5.0,8.0,-0.375,0.0,0.0,0.4478,5.0,3.0,0.4,27.0,0.0,88.0,10.0,0.4543,0.0,0,1,0,0,1,120.0,271.95,40.0,8.0,0.1591,0.594,0.3775,0.1013,0.3015
C-10336,2025-12-31,57.0,149.0,1788.0,0.0,1.0,-1.0,5.0,3.0,0.6667,0.0,0.0,1.0615,7.0,4.0,0.55,10.0,1.0,166.0,18.0,0.6319,0.0,1,1,0,0,1,120.0,600.5,40.0,22.35,0.3894,0.6649,0.52,0.1527,0.2059
C-10337,2024-05-17,20.0,249.0,2988.0,3.0,4.0,-0.25,1.0,4.0,-0.75,1.0,1.0,-0.0392,10.0,10.0,1.0,35.0,0.0,122.0,25.0,0.5986,0.0,0,0,0,0,0,360.0,1070.44,65.0,37.35,0.3486,0.5636,0.5744,0.2607,0.6225
C-10338,2025-06-20,13.0,799.0,9588.0,23.0,15.0,0.5333,0.0,1.0,-1.0,1.0,1.0,-0.8064,1.0,0.0,0.05,7.0,0.0,16.0,35.0,0.2145,1.0,1,0,0,1,1,360.0,3666.58,65.0,80.0,0.3047,0.5885,0.411,0.935,0.428
C-10339,2024-03-27,57.0,99.0,1188.0,12.0,23.0,-0.4783,4.0,5.0,-0.2,2.0,1.0,0.7,3.0,1.0,0.2,34.0,0.0,159.0,6.0,0.05,1.0,0,0,0,0,0,120.0,342.06,90.0,14.85,0.4765,0.5503,0.3407,0.1108,0.6726
C-10340,2024-03-18,38.0,49.0,588.0,12.0,20.0,-0.4,3.0,3.0,0.0,1.0,0.0,1.3784,5.0,5.0,0.5,39.0,0.0,8.0,25.0,0.4791,1.0,0,1,1,0,0,120.0,145.18,65.0,8.0,0.5511,0.5682,0.4305,0.086,0.505
C-10341,2025-07-11,18.0,99.0,1188.0,10.0,16.0,-0.375,0.0,2.0,-1.0,2.0,2.0,-0.7089,7.0,7.0,0.7,21.0,0.0,124.0,4.0,0.2226,1.0,0,1,1,0,1,120.0,388.04,90.0,14.85,0.4061,0.2843,0.5987,0.1174,0.7369
C-10342,2025-12-03,38.0,799.0,9588.0,3.0,3.0,0.0,9.0,7.0,0.2857,2.0,0.0,0.0314,8.0,7.0,0.75,29.0,1.0,48.0,19.0,0.5245,0.0,0,0,1,1,1,360.0,4135.12,90.0,80.0,0.2159,0.7581,0.505,0.9656,0.4551
C-10343,2026-01-14,31.0,49.0,588.0,19.0,21.0,-0.0952,5.0,7.0,-0.2857,2.0,1.0,0.8721,11.0,11.0,1.0,32.0,0.0,162.0,3.0,0.5901,1.0,0,1,1,0,1,120.0,248.75,90.0,8.0,0.2308,0.4488,0.6593,0.0983,0.6479
C-10344,2024-10-19,54.0,149.0,1788.0,10.0,2.0,4.0,4.0,1.0,3.0,2.0,1.0,0.0923,5.0,5.0,0.5,39.0,0.0,132.0,15.0,0.6227,0.0,0,0,0,0,1,120.0,710.13,90.0,22.35,0.2779,0.6251,0.3589,0.1741,0.7047
C-10345,2026-03-25,16.0,49.0,588.0,24.0,18.0,0.3333,1.0,3.0,-0.6667,1.0,0.0,-1.3978,2.0,1.0,0.15,26.0,1.0,146.0,24.0,0.7489,0.0,0,0,0,0,1,120.0,205.45,65.0,8.0,0.3647,0.4348,0.2932,0.093,0.4329
C-10346,2025-04-21,59.0,49.0,588.0,15.0,12.0,0.25,0.0,1.0,-1.0,2.0,1.0,0.3547,2.0,0.0,0.1,13.0,0.0,127.0,29.0,0.6473,0.0,0,0,0,0,1,120.0,279.08,90.0,8.0,0.1371,0.686,0.3318,0.1022,0.572
C-10347,2024-12-18,56.0,799.0,9588.0,25.0,24.0,0.0417,12.0,8.0,0.5,0.0,0.0,-0.783,9.0,6.0,0.75,9.0,0.0,104.0,32.0,0.7499,1.0,0,1,1,1,0,360.0,5000.97,40.0,80.0,0.0517,0.9015,0.6726,0.9898,0.1506
C-10348,2024-10-31,12.0,49.0,588.0,11.0,9.0,0.2222,3.0,4.0,-0.25,3.0,1.0,-1.0166,5.0,3.0,0.4,15.0,0.0,156.0,21.0,0.6758,0.0,0,1,0,0,1,120.0,254.95,115.0,8.0,0.2117,0.4512,0.4354,0.0991,0.6457
C-10349,2025-10-10,11.0,99.0,1188.0,13.0,18.0,-0.2778,4.0,1.0,3.0,1.0,0.0,-1.3822,7.0,6.0,0.65,2.0,0.0,57.0,11.0,0.6932,0.0,0,0,1,0,1,120.0,572.73,65.0,14.85,0.1235,0.4033,0.5987,0.1476,0.2423
C-10350,2024-11-22,32.0,799.0,9588.0,17.0,12.0,0.4167,3.0,3.0,0.0,1.0,0.0,0.9523,6.0,5.0,0.55,31.0,0.0,97.0,36.0,0.3918,0.0,0,1,0,1,0,360.0,4213.4,65.0,80.0,0.201,0.7426,0.4158,0.9692,0.4452
C-10351,2024-12-10,4.0,249.0,2988.0,8.0,15.0,-0.4667,12.0,11.0,0.0909,2.0,1.0,-0.6678,9.0,7.0,0.8,16.0,1.0,57.0,37.0,0.1421,0.0,1,1,1,0,0,360.0,911.72,90.0,37.35,0.4452,0.7554,0.589,0.2194,0.4452
C-10352,2024-12-08,19.0,49.0,588.0,31.0,26.0,0.1923,3.0,3.0,0.0,1.0,0.0,0.2667,2.0,2.0,0.2,32.0,1.0,24.0,38.0,0.8965,1.0,1,1,0,0,1,120.0,147.59,65.0,8.0,0.5436,0.5716,0.3498,0.0862,0.4526
C-10353,2024-10-08,27.0,149.0,1788.0,27.0,20.0,0.35,10.0,8.0,0.25,0.0,0.0,0.4632,2.0,0.0,0.1,2.0,0.0,158.0,31.0,0.4126,0.0,0,1,1,0,0,120.0,885.75,40.0,22.35,0.0993,0.735,0.3823,0.2131,0.1371
C-10354,2024-12-16,58.0,799.0,9588.0,13.0,12.0,0.0833,4.0,6.0,-0.3333,2.0,0.0,0.1295,8.0,5.0,0.65,14.0,1.0,91.0,31.0,0.6457,0.0,0,0,0,1,0,360.0,4735.42,90.0,80.0,0.102,0.8262,0.5399,0.9851,0.4061
C-10355,2024-01-22,59.0,149.0,1788.0,12.0,13.0,-0.0769,0.0,2.0,-1.0,2.0,1.0,0.2373,5.0,2.0,0.35,17.0,0.0,14.0,4.0,0.2899,0.0,0,0,0,0,0,120.0,755.16,90.0,22.35,0.2321,0.496,0.4061,0.1835,0.6011
C-10356,2026-02-10,10.0,249.0,2988.0,22.0,20.0,0.1,2.0,4.0,-0.5,1.0,0.0,0.3048,9.0,9.0,0.9,3.0,1.0,149.0,23.0,0.5928,0.0,0,1,0,1,1,360.0,1475.74,65.0,37.35,0.102,0.5496,0.6857,0.3862,0.267
C-10357,2024-08-08,53.0,249.0,2988.0,0.0,10.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.1105,1.0,0.0,0.05,37.0,1.0,169.0,16.0,0.05,1.0,0,1,1,0,1,360.0,358.92,40.0,37.35,0.7816,0.6057,0.2769,0.1132,0.4158
C-10358,2025-01-29,7.0,249.0,2988.0,7.0,5.0,0.4,8.0,9.0,-0.1111,0.0,0.0,-0.6081,3.0,2.0,0.25,26.0,1.0,120.0,11.0,0.3179,1.0,0,1,0,0,0,360.0,1026.81,40.0,37.35,0.3752,0.5306,0.3965,0.2489,0.265
C-10359,2024-05-30,45.0,99.0,1188.0,12.0,13.0,-0.0769,5.0,4.0,0.25,3.0,3.0,-0.6795,11.0,9.0,1.0,37.0,1.0,62.0,3.0,0.3803,1.0,1,1,0,0,1,120.0,338.38,115.0,14.85,0.4821,0.4872,0.6365,0.1103,0.8966
C-10360,2025-04-18,51.0,799.0,9588.0,2.0,2.0,0.0,9.0,6.0,0.5,1.0,1.0,-0.084,10.0,10.0,1.0,36.0,1.0,155.0,9.0,0.4925,0.0,0,1,1,1,0,360.0,3901.33,65.0,80.0,0.2602,0.7465,0.5695,0.9527,0.5325
C-10361,2024-08-24,53.0,799.0,9588.0,9.0,5.0,0.8,0.0,2.0,-1.0,1.0,1.0,-0.1009,0.0,0.0,0.0,1.0,0.0,134.0,36.0,0.6144,0.0,0,0,0,1,1,360.0,4747.38,65.0,80.0,0.0998,0.7842,0.3498,0.9854,0.3846
C-10362,2024-05-29,14.0,49.0,588.0,12.0,12.0,0.0,8.0,10.0,-0.2,1.0,0.0,0.3435,9.0,6.0,0.75,38.0,0.0,54.0,36.0,0.1812,0.0,0,1,0,0,1,120.0,234.83,65.0,8.0,0.2739,0.6599,0.4601,0.0966,0.4354
C-10363,2024-09-11,53.0,399.0,4788.0,15.0,22.0,-0.3182,0.0,3.0,-1.0,3.0,1.0,0.8813,0.0,0.0,0.0,3.0,0.0,62.0,29.0,0.532,1.0,0,1,0,1,1,360.0,2167.47,115.0,59.85,0.1769,0.7391,0.411,0.6283,0.5963
C-10364,2026-03-08,8.0,399.0,4788.0,21.0,22.0,-0.0455,12.0,7.0,0.7143,2.0,2.0,0.2751,1.0,0.0,0.05,39.0,0.0,177.0,4.0,0.6453,1.0,0,0,1,0,1,360.0,950.18,90.0,59.85,0.6392,0.5301,0.2689,0.229,0.7251
C-10365,2026-01-27,32.0,399.0,4788.0,8.0,8.0,0.0,10.0,10.0,0.0,2.0,0.0,-0.6487,10.0,9.0,0.95,30.0,0.0,171.0,27.0,0.8692,0.0,0,1,0,1,1,360.0,2255.02,90.0,59.85,0.1437,0.7987,0.5793,0.657,0.4502
C-10366,2025-11-27,29.0,149.0,1788.0,13.0,12.0,0.0833,9.0,8.0,0.125,1.0,1.0,-1.5,1.0,1.0,0.1,36.0,1.0,123.0,5.0,0.5413,0.0,0,1,0,1,1,120.0,468.36,65.0,22.35,0.5237,0.497,0.2387,0.1298,0.5325
C-10367,2024-06-28,20.0,149.0,1788.0,6.0,5.0,0.2,3.0,7.0,-0.5714,0.0,0.0,-0.6151,3.0,0.0,0.15,22.0,0.0,11.0,27.0,0.3081,1.0,0,0,0,0,1,120.0,656.0,40.0,22.35,0.3329,0.5209,0.3775,0.1632,0.2911
C-10368,2025-07-27,3.0,799.0,9588.0,27.0,21.0,0.2857,9.0,10.0,-0.1,1.0,0.0,-1.0756,1.0,0.0,0.05,7.0,1.0,45.0,2.0,0.1456,1.0,1,0,1,1,0,360.0,3980.97,65.0,80.0,0.2451,0.4794,0.411,0.9575,0.2244
C-10369,2025-12-23,46.0,49.0,588.0,0.0,7.0,-1.0,3.0,2.0,0.5,1.0,0.0,-0.5843,7.0,6.0,0.65,6.0,0.0,66.0,12.0,0.7658,0.0,0,1,0,0,0,120.0,236.74,65.0,8.0,0.268,0.5464,0.5793,0.0968,0.2749
C-10370,2025-07-27,21.0,399.0,4788.0,23.0,22.0,0.0455,10.0,11.0,-0.0909,0.0,0.0,0.1938,0.0,0.0,0.0,5.0,1.0,98.0,5.0,0.5475,0.0,0,0,0,1,0,360.0,2128.98,40.0,59.85,0.1915,0.6164,0.3318,0.6154,0.148
C-10371,2026-01-27,40.0,799.0,9588.0,31.0,23.0,0.3478,9.0,7.0,0.2857,1.0,0.0,0.0675,3.0,2.0,0.25,36.0,1.0,156.0,37.0,0.3956,1.0,0,0,0,1,1,360.0,3350.16,65.0,80.0,0.3647,0.8386,0.3498,0.9015,0.4085
C-10372,2024-06-26,25.0,399.0,4788.0,9.0,19.0,-0.5263,10.0,5.0,1.0,1.0,0.0,1.4865,3.0,3.0,0.3,24.0,0.0,153.0,23.0,0.076,0.0,0,1,0,1,1,360.0,1587.72,65.0,59.85,0.3971,0.7294,0.3543,0.4248,0.3143
C-10373,2025-02-13,23.0,149.0,1788.0,10.0,9.0,0.1111,0.0,3.0,-1.0,3.0,0.0,0.3865,7.0,6.0,0.65,9.0,0.0,52.0,36.0,0.2138,1.0,0,1,1,0,1,120.0,895.81,115.0,22.35,0.0891,0.5733,0.6365,0.2156,0.5175
C-10374,2024-10-18,53.0,249.0,2988.0,22.0,26.0,-0.1538,6.0,9.0,-0.3333,0.0,0.0,1.5273,5.0,5.0,0.5,5.0,0.0,24.0,1.0,0.5263,0.0,0,1,0,0,0,360.0,1446.3,40.0,37.35,0.1199,0.6704,0.525,0.3763,0.1751
C-10375,2025-10-01,7.0,49.0,588.0,17.0,19.0,-0.1053,8.0,11.0,-0.2727,0.0,0.0,0.5721,2.0,0.0,0.1,3.0,1.0,53.0,29.0,0.4708,1.0,0,1,1,0,0,120.0,249.72,40.0,8.0,0.2278,0.5832,0.4502,0.0984,0.1532
C-10376,2024-04-22,44.0,799.0,9588.0,13.0,18.0,-0.2778,12.0,8.0,0.5,2.0,0.0,0.8686,5.0,3.0,0.4,11.0,1.0,46.0,19.0,0.05,1.0,0,0,0,0,0,360.0,4209.16,90.0,80.0,0.2018,0.8189,0.53,0.969,0.2953
C-10377,2024-10-08,45.0,149.0,1788.0,23.0,24.0,-0.0417,3.0,1.0,2.0,2.0,0.0,-0.2871,5.0,2.0,0.35,33.0,0.0,162.0,19.0,0.5265,0.0,0,1,0,0,1,120.0,760.97,90.0,22.35,0.2262,0.5979,0.3318,0.1848,0.5597
C-10378,2025-09-11,24.0,49.0,588.0,35.0,24.0,0.4583,5.0,6.0,-0.1667,0.0,0.0,-0.8596,4.0,4.0,0.4,40.0,0.0,7.0,35.0,0.0863,1.0,1,1,1,0,0,120.0,175.41,40.0,8.0,0.4576,0.6227,0.387,0.0894,0.3894
C-10379,2024-01-16,17.0,399.0,4788.0,0.0,3.0,-1.0,9.0,9.0,0.0,1.0,0.0,-0.3592,6.0,4.0,0.5,27.0,0.0,150.0,2.0,0.6708,0.0,0,1,1,0,0,360.0,988.03,65.0,59.85,0.6248,0.5019,0.4158,0.2387,0.3452
C-10380,2024-08-13,2.0,249.0,2988.0,17.0,24.0,-0.2917,2.0,5.0,-0.6,2.0,2.0,-0.0095,3.0,1.0,0.2,44.0,0.0,119.0,37.0,0.4417,1.0,1,0,0,0,1,360.0,381.87,90.0,37.35,0.7676,0.5315,0.2973,0.1165,0.8348
C-10381,2025-09-17,56.0,249.0,2988.0,13.0,21.0,-0.381,11.0,9.0,0.2222,2.0,0.0,-0.5025,4.0,2.0,0.3,17.0,1.0,23.0,2.0,0.3073,1.0,0,0,1,0,0,360.0,1007.15,90.0,37.35,0.3872,0.7439,0.4601,0.2437,0.3452
C-10382,2024-07-30,56.0,49.0,588.0,16.0,6.0,1.6667,7.0,8.0,-0.125,1.0,1.0,-0.8009,9.0,6.0,0.75,14.0,0.0,124.0,15.0,0.598,1.0,0,1,1,1,0,120.0,294.85,65.0,8.0,0.0883,0.708,0.6502,0.1043,0.3941
C-10383,2025-06-18,15.0,399.0,4788.0,6.0,9.0,-0.3333,0.0,1.0,-1.0,2.0,1.0,0.3335,3.0,2.0,0.25,31.0,1.0,106.0,6.0,0.4707,1.0,1,1,0,0,1,360.0,966.52,90.0,59.85,0.633,0.346,0.3729,0.2331,0.6964
C-10384,2024-12-19,3.0,249.0,2988.0,21.0,21.0,0.0,8.0,7.0,0.1429,1.0,0.0,-0.8043,3.0,3.0,0.3,6.0,1.0,5.0,21.0,0.665,0.0,0,1,0,0,0,360.0,1149.59,65.0,37.35,0.3005,0.5938,0.4403,0.2831,0.2279
C-10385,2025-02-10,9.0,399.0,4788.0,4.0,6.0,-0.3333,1.0,2.0,-0.5,1.0,0.0,-1.2268,1.0,1.0,0.1,41.0,1.0,44.0,24.0,0.4161,0.0,0,1,0,0,0,360.0,777.52,65.0,59.85,0.7047,0.457,0.221,0.1884,0.5449
C-10386,2024-11-11,5.0,399.0,4788.0,7.0,13.0,-0.4615,5.0,6.0,-0.1667,1.0,1.0,-0.8977,8.0,7.0,0.75,35.0,0.0,65.0,26.0,0.4278,0.0,0,1,0,0,1,360.0,1181.71,65.0,59.85,0.5513,0.5509,0.475,0.2925,0.5744
C-10387,2026-03-03,50.0,99.0,1188.0,18.0,19.0,-0.0526,5.0,5.0,0.0,0.0,0.0,-0.1875,8.0,8.0,0.8,1.0,0.0,42.0,32.0,0.3429,0.0,0,1,0,1,1,120.0,626.04,40.0,14.85,0.0419,0.7575,0.6593,0.1575,0.1652
C-10388,2025-09-27,53.0,99.0,1188.0,33.0,18.0,0.8333,10.0,9.0,0.1111,0.0,0.0,-0.7927,8.0,8.0,0.8,8.0,1.0,106.0,30.0,0.4526,0.0,0,1,1,0,0,120.0,604.06,40.0,14.85,0.0755,0.8209,0.6271,0.1534,0.1598
C-10389,2025-10-03,10.0,799.0,9588.0,33.0,25.0,0.32,14.0,10.0,0.4,0.0,0.0,-0.1825,2.0,2.0,0.2,28.0,0.0,112.0,37.0,0.7396,0.0,0,0,0,1,0,360.0,3716.41,40.0,80.0,0.2953,0.8149,0.3015,0.9392,0.221
C-10390,2025-11-29,45.0,249.0,2988.0,0.0,4.0,-1.0,7.0,6.0,0.1667,0.0,0.0,0.4804,5.0,4.0,0.45,33.0,1.0,34.0,18.0,0.2994,1.0,1,0,0,0,0,360.0,490.37,40.0,37.35,0.7016,0.7004,0.4403,0.1334,0.3186
C-10391,2025-01-10,12.0,149.0,1788.0,12.0,8.0,0.5,8.0,6.0,0.3333,2.0,1.0,0.4596,3.0,3.0,0.3,9.0,0.0,26.0,7.0,0.5296,0.0,0,1,1,0,0,120.0,708.15,90.0,22.35,0.2799,0.4378,0.4256,0.1737,0.4428
C-10392,2024-04-01,23.0,99.0,1188.0,22.0,27.0,-0.1852,6.0,7.0,-0.1429,1.0,1.0,-0.5287,9.0,8.0,0.85,33.0,0.0,119.0,7.0,0.2239,1.0,0,0,0,0,0,120.0,442.59,65.0,14.85,0.3226,0.4474,0.5987,0.1257,0.5474
C-10393,2024-02-17,36.0,249.0,2988.0,5.0,16.0,-0.6875,6.0,8.0,-0.25,0.0,0.0,-1.0432,4.0,2.0,0.3,21.0,2.0,87.0,11.0,0.05,1.0,1,1,0,0,0,360.0,631.11,40.0,37.35,0.616,0.604,0.4403,0.1584,0.2554
C-10394,2025-03-01,43.0,399.0,4788.0,13.0,7.0,0.8571,8.0,7.0,0.1429,0.0,0.0,-0.4605,4.0,3.0,0.35,30.0,1.0,51.0,24.0,0.4415,0.0,0,1,1,0,0,360.0,1904.27,40.0,59.85,0.2769,0.7827,0.3452,0.5372,0.2891
C-10395,2026-02-11,52.0,49.0,588.0,15.0,8.0,0.875,9.0,9.0,0.0,2.0,0.0,0.5245,5.0,5.0,0.5,19.0,0.0,49.0,3.0,0.4741,0.0,0,0,1,0,0,120.0,290.41,90.0,8.0,0.102,0.6454,0.4551,0.1037,0.3823
C-10396,2025-03-01,4.0,249.0,2988.0,16.0,10.0,0.6,7.0,11.0,-0.3636,2.0,1.0,0.7114,9.0,7.0,0.8,20.0,0.0,11.0,38.0,0.378,1.0,1,1,0,0,0,360.0,1126.85,90.0,37.35,0.3143,0.6948,0.6411,0.2765,0.5374
